name,season,age,actual_war,predicted_war,abs_error,error,yr_ahead
Aaron Hicks,2023,33,0.5,1.07,0.57,0.57,1
Aaron Judge,2023,31,4.6,4.9,0.3,0.3,1
Aaron Judge,2024,32,10.9,4.56,6.34,-6.34,2
Aaron Judge,2025,33,9.7,4.33,5.37,-5.37,3
Abraham Toro,2024,27,0.6,1.38,0.78,0.78,2
Adam Duvall,2023,34,1.6,1.65,0.05,0.05,1
Adam Frazier,2023,31,1.7,1.52,0.18,-0.18,1
Adam Frazier,2024,32,0.4,1.42,1.02,1.02,2
Adam Frazier,2025,33,1.4,1.37,0.03,-0.03,3
Adolis GarcÃ­a,2023,30,4.5,3.01,1.49,-1.49,1
Adolis GarcÃ­a,2024,31,0.7,2.88,2.18,2.18,2
Adolis GarcÃ­a,2025,32,2.7,2.75,0.05,0.05,3
Akil Baddoo,2023,24,0.7,1.12,0.42,0.42,1
Alec Bohm,2023,26,0.5,1.49,0.99,0.99,1
Alec Bohm,2024,27,2.8,1.59,1.21,-1.21,2
Alec Bohm,2025,28,1.5,1.62,0.12,0.12,3
Alejandro Kirk,2023,24,1.9,2.83,0.93,0.93,1
Alejandro Kirk,2024,25,1.9,2.68,0.78,0.78,2
Alejandro Kirk,2025,26,2.3,2.52,0.22,0.22,3
Alex Bregman,2023,29,4.9,3.27,1.63,-1.63,1
Alex Bregman,2024,30,4.0,2.78,1.22,-1.22,2
Alex Bregman,2025,31,3.5,2.67,0.83,-0.83,3
Alex Verdugo,2023,27,2.7,2.26,0.44,-0.44,1
Alex Verdugo,2024,28,0.9,2.41,1.51,1.51,2
Amed Rosario,2023,27,0.4,2.6,2.2,2.2,1
Amed Rosario,2025,29,0.3,1.86,1.56,1.56,3
Andrew Benintendi,2023,28,0.4,2.39,1.99,1.99,1
Andrew Benintendi,2025,30,1.0,1.95,0.95,0.95,3
Andrew Knizner,2023,28,1.0,0.79,0.21,-0.21,1
Andrew Knizner,2025,30,0.3,0.69,0.39,0.39,3
Andrew McCutchen,2023,36,1.4,1.01,0.39,-0.39,1
Andrew McCutchen,2024,37,0.9,0.97,0.07,0.07,2
Andrew McCutchen,2025,38,0.1,1.02,0.92,0.92,3
AndrÃ©s GimÃ©nez,2023,24,5.0,4.78,0.22,-0.22,1
AndrÃ©s GimÃ©nez,2024,25,4.0,3.61,0.39,-0.39,2
AndrÃ©s GimÃ©nez,2025,26,1.1,3.53,2.43,2.43,3
Anthony Rendon,2023,33,0.1,2.59,2.49,2.49,1
Anthony Rendon,2024,34,0.6,2.69,2.09,2.09,2
Anthony Rizzo,2023,33,0.5,1.74,1.24,1.24,1
Anthony Rizzo,2024,34,0.2,1.67,1.47,1.47,2
Anthony Santander,2023,28,3.0,1.98,1.02,-1.02,1
Anthony Santander,2024,29,2.7,1.78,0.92,-0.92,2
Austin Barnes,2024,34,0.7,0.85,0.15,0.15,2
Austin Hays,2023,27,2.5,2.76,0.26,0.26,1
Austin Hays,2025,29,0.8,2.21,1.41,1.41,3
Austin Riley,2023,26,6.0,4.9,1.1,-1.1,1
Austin Riley,2024,27,2.9,4.52,1.62,1.62,2
Austin Riley,2025,28,1.3,4.2,2.9,2.9,3
Austin Slater,2023,30,0.8,1.35,0.55,0.55,1
Ben Gamel,2024,32,0.2,0.72,0.52,0.52,2
Billy McKinney,2023,28,0.2,1.18,0.98,0.98,1
Bo Bichette,2023,25,4.8,3.96,0.84,-0.84,1
Bo Bichette,2025,27,3.5,3.57,0.07,0.07,3
Brandon Belt,2023,35,2.0,1.49,0.51,-0.51,1
Brandon Drury,2023,30,2.0,1.58,0.42,-0.42,1
Brandon Lowe,2023,28,2.1,2.41,0.31,0.31,1
Brandon Lowe,2024,29,2.4,2.43,0.03,0.03,2
Brandon Lowe,2025,30,1.9,2.17,0.27,0.27,3
