name,season,actual_war,predicted_war,error,abs_error,tier
AJ Pollock,2022,0.4,2.01,1.6099999999999999,1.6099999999999999,0-1
Aaron Hicks,2022,1.3,1.74,0.43999999999999995,0.43999999999999995,1-2
Aaron Judge,2022,10.8,5.02,-5.780000000000001,5.780000000000001,6+
Adam Engel,2022,0.3,1.04,0.74,0.74,0-1
Adam Frazier,2022,0.9,2.17,1.27,1.27,0-1
Albert Almora,2022,0.6,1.65,1.0499999999999998,1.0499999999999998,0-1
Albert Pujols,2022,2.1,0.95,-1.1500000000000001,1.1500000000000001,2-3
Aledmys DÃ­az,2022,1.1,1.15,0.04999999999999982,0.04999999999999982,1-2
Alex Bregman,2022,4.5,3.67,-0.8300000000000001,0.8300000000000001,4-5
Alex Verdugo,2022,0.9,3.01,2.11,2.11,0-1
Amed Rosario,2022,4.2,2.17,-2.0300000000000002,2.0300000000000002,4-5
Andrew Benintendi,2022,2.9,2.52,-0.3799999999999999,0.3799999999999999,2-3
Andrew McCutchen,2022,1.0,1.13,0.1299999999999999,0.1299999999999999,0-1
AndrÃ©s GimÃ©nez,2022,7.4,2.35,-5.050000000000001,5.050000000000001,6+
Anthony Rendon,2022,1.0,3.55,2.55,2.55,0-1
Anthony Rizzo,2022,2.3,2.15,-0.1499999999999999,0.1499999999999999,2-3
Anthony Santander,2022,2.1,1.92,-0.18000000000000016,0.18000000000000016,2-3
Aristides Aquino,2022,1.3,1.22,-0.08000000000000007,0.08000000000000007,1-2
Austin Barnes,2022,0.7,0.52,-0.17999999999999994,0.17999999999999994,0-1
Austin Hays,2022,2.9,2.91,0.010000000000000231,0.010000000000000231,2-3
Austin Meadows,2022,0.6,2.07,1.4699999999999998,1.4699999999999998,0-1
Austin Nola,2022,1.9,1.33,-0.5699999999999998,0.5699999999999998,1-2
Austin Slater,2022,1.6,1.41,-0.19000000000000017,0.19000000000000017,1-2
Austin Wynns,2022,0.4,0.41,0.009999999999999953,0.009999999999999953,0-1
Bo Bichette,2022,3.7,4.32,0.6200000000000001,0.6200000000000001,3-4
Bradley Zimmer,2022,0.1,0.99,0.89,0.89,0-1
Brandon Belt,2022,0.4,1.79,1.3900000000000001,1.3900000000000001,0-1
Brandon Crawford,2022,0.7,3.0,2.3,2.3,0-1
Brandon Drury,2022,2.7,0.81,-1.8900000000000001,1.8900000000000001,2-3
Brandon Lowe,2022,0.9,3.59,2.69,2.69,0-1
Brandon Nimmo,2022,5.0,2.95,-2.05,2.05,4-5
Brett Phillips,2022,0.2,1.32,1.12,1.12,0-1
Brian Anderson,2022,0.4,1.99,1.5899999999999999,1.5899999999999999,0-1
Bryan Reynolds,2022,3.0,3.72,0.7200000000000002,0.7200000000000002,2-3
Bryce Harper,2022,2.5,4.52,2.0199999999999996,2.0199999999999996,2-3
Byron Buxton,2022,3.9,3.64,-0.2599999999999998,0.2599999999999998,3-4
C.J. Cron,2022,2.3,1.65,-0.6499999999999999,0.6499999999999999,2-3
Carlos Correa,2022,5.3,4.95,-0.34999999999999964,0.34999999999999964,5-6
Carlos Santana,2022,1.1,2.0,0.8999999999999999,0.8999999999999999,1-2
Carson Kelly,2022,0.9,1.57,0.67,0.67,0-1
Cavan Biggio,2022,0.8,2.22,1.4200000000000002,1.4200000000000002,0-1
Cedric Mullins,2022,4.0,3.82,-0.18000000000000016,0.18000000000000016,3-4
Charlie Blackmon,2022,0.2,1.14,0.94,0.94,0-1
Chris Taylor,2022,0.7,1.97,1.27,1.27,0-1
Christian Arroyo,2022,0.7,1.0,0.30000000000000004,0.30000000000000004,0-1
Christian VÃ¡zquez,2022,2.1,1.3,-0.8,0.8,2-3
Christian Walker,2022,5.0,1.73,-3.27,3.27,4-5
Christian Yelich,2022,2.5,2.47,-0.029999999999999805,0.029999999999999805,2-3
Cody Bellinger,2022,1.3,3.75,2.45,2.45,1-2
Corey Seager,2022,3.8,3.42,-0.3799999999999999,0.3799999999999999,3-4
Curt Casali,2022,1.4,0.89,-0.5099999999999999,0.5099999999999999,1-2
CÃ©sar HernÃ¡ndez,2022,0.5,1.48,0.98,0.98,0-1
DJ LeMahieu,2022,3.6,2.61,-0.9900000000000002,0.9900000000000002,3-4
Daniel Vogelbach,2022,1.4,1.07,-0.32999999999999985,0.32999999999999985,1-2
Danny Jansen,2022,2.9,1.34,-1.5599999999999998,1.5599999999999998,2-3
Dansby Swanson,2022,5.5,2.98,-2.52,2.52,5-6
Daulton Varsho,2022,4.9,1.55,-3.3500000000000005,3.3500000000000005,4-5
David Bote,2022,0.8,1.7,0.8999999999999999,0.8999999999999999,0-1
David Fletcher,2022,1.1,2.67,1.5699999999999998,1.5699999999999998,1-2
David Peralta,2022,0.6,1.54,0.9400000000000001,0.9400000000000001,0-1
Donovan Solano,2022,0.9,1.42,0.5199999999999999,0.5199999999999999,0-1
Dylan Carlson,2022,1.8,2.07,0.2699999999999998,0.2699999999999998,1-2
Dylan Moore,2022,1.4,1.62,0.2200000000000002,0.2200000000000002,1-2
Eduardo Escobar,2022,1.2,1.78,0.5800000000000001,0.5800000000000001,1-2
Edwin RÃ­os,2022,0.1,1.3,1.2,1.2,0-1
Elias DÃ­az,2022,0.4,1.56,1.1600000000000001,1.1600000000000001,0-1
Eloy JimÃ©nez,2022,1.9,1.81,-0.08999999999999986,0.08999999999999986,1-2
Elvis Andrus,2022,3.1,1.15,-1.9500000000000002,1.9500000000000002,3-4
Eric Hosmer,2022,1.0,1.24,0.24,0.24,0-1
Eugenio SuÃ¡rez,2022,4.1,1.86,-2.2399999999999993,2.2399999999999993,4-5
Evan Longoria,2022,0.7,1.38,0.6799999999999999,0.6799999999999999,0-1
Francisco Lindor,2022,5.4,3.51,-1.8900000000000006,1.8900000000000006,5-6
Francisco Mejia,2022,0.7,1.55,0.8500000000000001,0.8500000000000001,0-1
Freddie Freeman,2022,6.2,4.4,-1.7999999999999998,1.7999999999999998,6+
Garrett Cooper,2022,1.0,0.98,-0.020000000000000018,0.020000000000000018,0-1
Gary SÃ¡nchez,2022,0.7,1.26,0.56,0.56,0-1
Gavin Lux,2022,2.8,1.71,-1.0899999999999999,1.0899999999999999,2-3
George Springer,2022,4.2,2.83,-1.37,1.37,4-5
Giancarlo Stanton,2022,0.7,1.95,1.25,1.25,0-1
Gio Urshela,2022,2.9,1.9,-1.0,1.0,2-3
Gleyber Torres,2022,4.1,1.8,-2.3,2.3,4-5
Greg Allen,2022,0.1,0.78,0.68,0.68,0-1
Hanser Alberto,2022,0.0,1.47,1.47,1.47,<0
Harold RamÃ­rez,2022,1.3,1.21,-0.09000000000000008,0.09000000000000008,1-2
Harrison Bader,2022,1.3,2.9,1.5999999999999999,1.5999999999999999,1-2
Hunter Renfroe,2022,2.4,1.74,-0.6599999999999999,0.6599999999999999,2-3
Ian Happ,2022,4.3,1.93,-2.37,2.37,4-5
Isiah Kiner-Falefa,2022,2.9,3.3,0.3999999999999999,0.3999999999999999,2-3
J.D. Davis,2022,0.7,1.02,0.32000000000000006,0.32000000000000006,0-1
J.D. Martinez,2022,1.1,2.7,1.6,1.6,1-2
J.P. Crawford,2022,2.7,2.48,-0.2200000000000002,0.2200000000000002,2-3
J.T. Realmuto,2022,6.5,3.21,-3.29,3.29,6+
Jace Peterson,2022,2.2,0.72,-1.4800000000000002,1.4800000000000002,2-3
Jake Cave,2022,0.3,1.11,0.81,0.81,0-1
Jake Cronenworth,2022,3.9,3.88,-0.020000000000000018,0.020000000000000018,3-4
Jake Marisnick,2022,0.3,1.18,0.8799999999999999,0.8799999999999999,0-1
Javier BÃ¡ez,2022,2.4,3.24,0.8400000000000003,0.8400000000000003,2-3
Jazz Chisholm Jr.,2022,2.4,1.91,-0.49,0.49,2-3
Jean Segura,2022,1.8,2.37,0.5700000000000001,0.5700000000000001,1-2
Jeff McNeil,2022,5.9,2.32,-3.5800000000000005,3.5800000000000005,5-6
Jeimer Candelario,2022,0.5,2.2,1.7000000000000002,1.7000000000000002,0-1
Jiman Choi,2022,1.2,1.03,-0.16999999999999993,0.16999999999999993,1-2
Joc Pederson,2022,1.3,3.0,1.7,1.7,1-2
Joey Gallo,2022,0.4,2.97,2.5700000000000003,2.5700000000000003,0-1
