name,season,age,actual_war,predicted_war,error,abs_error,yr_ahead
Aaron Hicks,2023,33,0.5,0.93,0.43,0.43,1
Aaron Judge,2023,31,4.6,4.86,0.26,0.26,1
Aaron Judge,2024,32,10.9,4.33,-6.57,6.57,2
Aaron Judge,2025,33,9.7,4.12,-5.58,5.58,3
Abraham Toro,2024,27,0.6,1.38,0.78,0.78,2
Adam Duvall,2023,34,1.6,1.55,-0.05,0.05,1
Adam Frazier,2023,31,1.7,1.36,-0.34,0.34,1
Adam Frazier,2024,32,0.4,1.23,0.83,0.83,2
Adam Frazier,2025,33,1.4,1.23,-0.17,0.17,3
Adolis GarcÃ­a,2023,30,4.5,3.06,-1.44,1.44,1
Adolis GarcÃ­a,2024,31,0.7,2.91,2.21,2.21,2
Adolis GarcÃ­a,2025,32,2.7,2.77,0.07,0.07,3
Akil Baddoo,2023,24,0.7,1.12,0.42,0.42,1
Alec Bohm,2023,26,0.5,1.38,0.88,0.88,1
Alec Bohm,2024,27,2.8,1.44,-1.36,1.36,2
Alec Bohm,2025,28,1.5,1.42,-0.08,0.08,3
Alejandro Kirk,2023,24,1.9,2.77,0.87,0.87,1
Alejandro Kirk,2024,25,1.9,2.66,0.76,0.76,2
Alejandro Kirk,2025,26,2.3,2.6,0.3,0.3,3
Alex Bregman,2023,29,4.9,3.18,-1.72,1.72,1
Alex Bregman,2024,30,4.0,2.84,-1.16,1.16,2
Alex Bregman,2025,31,3.5,2.65,-0.85,0.85,3
Alex Verdugo,2023,27,2.7,1.77,-0.93,0.93,1
Alex Verdugo,2024,28,0.9,1.9,1.0,1.0,2
Amed Rosario,2023,27,0.4,2.56,2.16,2.16,1
Amed Rosario,2025,29,0.3,1.81,1.51,1.51,3
Andrew Benintendi,2023,28,0.4,2.48,2.08,2.08,1
Andrew Benintendi,2025,30,1.0,1.86,0.86,0.86,3
Andrew Knizner,2023,28,1.0,0.82,-0.18,0.18,1
Andrew Knizner,2025,30,0.3,0.82,0.52,0.52,3
Andrew McCutchen,2023,36,1.4,1.03,-0.37,0.37,1
Andrew McCutchen,2024,37,0.9,0.98,0.08,0.08,2
Andrew McCutchen,2025,38,0.1,0.97,0.87,0.87,3
AndrÃ©s GimÃ©nez,2023,24,5.0,4.21,-0.79,0.79,1
AndrÃ©s GimÃ©nez,2024,25,4.0,3.29,-0.71,0.71,2
AndrÃ©s GimÃ©nez,2025,26,1.1,3.07,1.97,1.97,3
Anthony Rendon,2023,33,0.1,2.21,2.11,2.11,1
Anthony Rendon,2024,34,0.6,2.28,1.68,1.68,2
Anthony Rizzo,2023,33,0.5,1.66,1.16,1.16,1
Anthony Rizzo,2024,34,0.2,1.61,1.41,1.41,2
Anthony Santander,2023,28,3.0,1.69,-1.31,1.31,1
Anthony Santander,2024,29,2.7,1.54,-1.16,1.16,2
Austin Barnes,2024,34,0.7,0.86,0.16,0.16,2
Austin Hays,2023,27,2.5,2.69,0.19,0.19,1
Austin Hays,2025,29,0.8,2.06,1.26,1.26,3
Austin Riley,2023,26,6.0,4.86,-1.14,1.14,1
Austin Riley,2024,27,2.9,4.49,1.59,1.59,2
Austin Riley,2025,28,1.3,4.18,2.88,2.88,3
Austin Slater,2023,30,0.8,1.22,0.42,0.42,1
Ben Gamel,2024,32,0.2,0.81,0.61,0.61,2
Billy McKinney,2023,28,0.2,1.26,1.06,1.06,1
Bo Bichette,2023,25,4.8,3.86,-0.94,0.94,1
Bo Bichette,2025,27,3.5,3.6,0.1,0.1,3
Brandon Belt,2023,35,2.0,1.08,-0.92,0.92,1
Brandon Drury,2023,30,2.0,1.56,-0.44,0.44,1
Brandon Lowe,2023,28,2.1,1.9,-0.2,0.2,1
Brandon Lowe,2024,29,2.4,1.79,-0.61,0.61,2
Brandon Lowe,2025,30,1.9,1.64,-0.26,0.26,3
Brandon Marsh,2023,25,3.4,1.54,-1.86,1.86,1
Brandon Marsh,2024,26,3.0,1.21,-1.79,1.79,2
Brandon Marsh,2025,27,1.7,1.14,-0.56,0.56,3
Brandon Nimmo,2023,30,4.0,3.26,-0.74,0.74,1
Brandon Nimmo,2024,31,2.2,2.97,0.77,0.77,2
Brandon Nimmo,2025,32,2.9,2.81,-0.09,0.09,3
Brendan Rodgers,2023,26,0.1,3.14,3.04,3.04,1
Brendan Rodgers,2024,27,1.0,3.0,2.0,2.0,2
Brian Anderson,2023,30,0.5,1.1,0.6,0.6,1
Bryan Reynolds,2023,28,2.4,3.09,0.69,0.69,1
Bryan Reynolds,2024,29,3.6,2.85,-0.75,0.75,2
Bryan Reynolds,2025,30,1.4,2.49,1.09,1.09,3
Bryce Harper,2023,30,3.6,2.63,-0.97,0.97,1
Bryce Harper,2024,31,4.6,2.48,-2.12,2.12,2
Bryce Harper,2025,32,3.1,2.36,-0.74,0.74,3
Byron Buxton,2023,29,0.7,2.81,2.11,2.11,1
Byron Buxton,2024,30,3.6,2.39,-1.21,1.21,2
Byron Buxton,2025,31,4.9,2.29,-2.61,2.61,3
Carlos Correa,2023,28,1.3,3.54,2.24,2.24,1
Carlos Correa,2024,29,3.7,3.03,-0.67,0.67,2
Carlos Correa,2025,30,1.5,2.81,1.31,1.31,3
Carlos PÃ©rez,2023,32,0.5,1.04,0.54,0.54,1
Carlos Santana,2023,37,2.7,1.65,-1.05,1.05,1
Carlos Santana,2024,38,2.5,1.7,-0.8,0.8,2
Carlos Santana,2025,39,1.1,1.7,0.6,0.6,3
Carson Kelly,2023,28,0.1,0.92,0.82,0.82,1
Carson Kelly,2024,29,0.5,0.83,0.33,0.33,2
Carson Kelly,2025,30,3.6,0.77,-2.83,2.83,3
Cavan Biggio,2023,28,0.6,1.22,0.62,0.62,1
Cavan Biggio,2024,29,0.1,1.19,1.09,1.09,2
Cavan Biggio,2024,29,-0.4,1.19,1.59,1.59,2
Cedric Mullins,2023,28,2.8,3.28,0.48,0.48,1
Cedric Mullins,2024,29,2.4,3.04,0.64,0.64,2
Cedric Mullins,2025,30,0.5,2.88,2.38,2.38,3
Charlie Blackmon,2023,36,1.4,0.67,-0.73,0.73,1
Charlie Blackmon,2024,37,0.5,0.74,0.24,0.24,2
Chas McCormick,2023,28,3.4,2.34,-1.06,1.06,1
Chris Taylor,2023,32,1.5,1.39,-0.11,0.11,1
Christian VÃ¡zquez,2025,34,0.6,1.07,0.47,0.47,3
Christian Walker,2023,32,3.7,2.52,-1.18,1.18,1
Christian Walker,2024,33,2.5,2.11,-0.39,0.39,2
Christian Walker,2025,34,0.2,2.05,1.85,1.85,3
Christian Yelich,2023,31,3.5,2.06,-1.44,1.44,1
Christian Yelich,2024,32,2.3,1.79,-0.51,0.51,2
Christian Yelich,2025,33,3.1,1.59,-1.51,1.51,3
Cody Bellinger,2023,27,4.8,3.04,-1.76,1.76,1
Cody Bellinger,2024,28,2.2,3.21,1.01,1.01,2
Cody Bellinger,2025,29,5.1,3.24,-1.86,1.86,3
Connor Joe,2023,30,0.7,1.54,0.84,0.84,1
Connor Joe,2024,31,0.7,1.51,0.81,0.81,2
Corey Seager,2023,29,7.2,3.37,-3.83,3.83,1
Corey Seager,2024,30,5.2,3.16,-2.04,2.04,2
Corey Seager,2025,31,6.2,3.01,-3.19,3.19,3
Curt Casali,2023,34,0.1,0.95,0.85,0.85,1
Curt Casali,2024,35,0.3,0.84,0.54,0.54,2
DJ LeMahieu,2023,34,1.3,1.92,0.62,0.62,1
DJ LeMahieu,2025,36,0.6,1.43,0.83,0.83,3
Daniel Vogelbach,2023,30,0.2,0.98,0.78,0.78,1
Danny Jansen,2023,28,1.6,1.84,0.24,0.24,1
Danny Jansen,2024,29,0.7,1.5,0.8,0.8,2
Danny Jansen,2025,30,2.8,1.37,-1.43,1.43,3
Dansby Swanson,2023,29,5.2,3.49,-1.71,1.71,1
Dansby Swanson,2024,30,4.0,3.01,-0.99,0.99,2
Dansby Swanson,2025,31,4.5,2.86,-1.64,1.64,3
Daulton Varsho,2023,26,3.6,3.1,-0.5,0.5,1
Daulton Varsho,2024,27,4.8,2.8,-2.0,2.0,2
Daulton Varsho,2025,28,2.8,2.53,-0.27,0.27,3
David Dahl,2024,30,0.3,1.29,0.99,0.99,2
David Fletcher,2023,29,0.1,1.25,1.15,1.15,1
David Peralta,2023,35,0.7,1.09,0.39,0.39,1
David Peralta,2024,36,0.8,1.07,0.27,0.27,2
Dominic Smith,2023,28,0.9,2.27,1.37,1.37,1
Dominic Smith,2024,29,0.0,2.23,2.23,2.23,2
Dominic Smith,2025,30,0.4,2.23,1.83,1.83,3
Donovan Solano,2023,35,1.6,0.98,-0.62,0.62,1
Donovan Solano,2024,36,1.0,0.95,-0.05,0.05,2
Dylan Carlson,2023,24,0.5,1.74,1.24,1.24,1
Dylan Moore,2023,30,0.5,0.8,0.3,0.3,1
Dylan Moore,2024,31,2.1,0.65,-1.45,1.45,2
Dylan Moore,2025,32,0.4,0.6,0.2,0.2,3
Eddie Rosario,2023,31,1.2,1.76,0.56,0.56,1
Edmundo Sosa,2023,27,0.6,1.52,0.92,0.92,1
Edmundo Sosa,2024,28,2.2,1.33,-0.87,0.87,2
Edmundo Sosa,2025,29,2.3,1.2,-1.1,1.1,3
Elias DÃ­az,2023,32,1.5,0.87,-0.63,0.63,1
Elias DÃ­az,2024,33,1.2,0.92,-0.28,0.28,2
Eloy JimÃ©nez,2023,26,0.5,1.56,1.06,1.06,1
Elvis Andrus,2023,34,0.7,1.74,1.04,1.04,1
Emmanuel Rivera,2023,27,0.2,1.05,0.85,0.85,1
Emmanuel Rivera,2025,29,0.1,0.85,0.75,0.75,3
Eric Haase,2024,31,0.5,1.33,0.83,0.83,2
Eric Haase,2025,32,0.2,1.2,1.0,1.0,3
Eugenio SuÃ¡rez,2023,31,2.4,1.93,-0.47,0.47,1
Eugenio SuÃ¡rez,2024,32,3.0,1.68,-1.32,1.32,2
Eugenio SuÃ¡rez,2025,33,3.6,1.63,-1.97,1.97,3
Evan Longoria,2023,37,0.4,0.94,0.54,0.54,1
Fernando Tatis Jr.,2023,24,5.2,5.01,-0.19,0.19,1
Fernando Tatis Jr.,2024,25,2.7,4.67,1.97,1.97,2
Fernando Tatis Jr.,2025,26,5.9,4.3,-1.6,1.6,3
Francisco Lindor,2023,29,6.1,3.39,-2.71,2.71,1
Francisco Lindor,2024,30,6.8,3.04,-3.76,3.76,2
Francisco Lindor,2025,31,5.9,2.8,-3.1,3.1,3
Francisco Mejia,2023,27,0.1,0.86,0.76,0.76,1
Freddie Freeman,2023,33,6.8,4.06,-2.74,2.74,1
Freddie Freeman,2024,34,4.5,3.38,-1.12,1.12,2
Freddie Freeman,2025,35,3.5,3.02,-0.48,0.48,3
Garrett Hampson,2023,28,1.1,0.91,-0.19,0.19,1
Garrett Hampson,2024,29,0.5,0.92,0.42,0.42,2
Gary SÃ¡nchez,2023,30,2.1,1.12,-0.98,0.98,1
Gary SÃ¡nchez,2024,31,0.2,1.1,0.9,0.9,2
